Post,Hate,,
"לא נתפס והלוואי שזה לא נכון נשמע כמו דר גקל ומיסטר הייד .לא יכולה להאמין .אם זה נכון, הוא לא ישרוד את החרפה בטח לא אחרי הטרגדיות שעבר השנה",0,,
עלילות של הפלג שקשה להם לראות חרדי שגייס את הבנים שלו,0,,
אני לא יכול להאמין.זה לא יכול להיות!!!הוא בעיניי הבן אדם הכי שפוי והכי צדיק בארץ!!.,0,,
"מעניין לאיזה ה' הם מתפללים ובאיזה ספרי תנ""ך יש התר על הדברים המזעזים שהם מרשים לעצמם לעשות. חולי נפש. מסכנים הילדים האלה גדלים עם טראומות לכל החיים, עליק רבנים. תת רמה.",1,,
ככה זה היקום הפתט הזה. אין אמונה באפחד. Tahel Hadad אפרופו,0,,
מעניין שאחרי שהבן אדם מקבל פרס ישראל ויוצא בביקורת חריפה על הקהילה שלו פתאום מתחיל לצוץ עליו לכלוך... הכפשה מזעזעת ושקרית! איש יקר שעשה המון חסד וטוב במשך כל השנים האלו,0,,
לא מאמינה. נקודה .,0,,
אחד לדור מקווה שזאת עלילה,0,,
"מעניין שדווקא עיתון הארץ ה""נאור"" תמיד מוצא משהו אצל ימנים ואצל חרדים.אבל כשמדובר באנשים ים אג""נדה שמאלנית , הם לא מוצאים כל כך מהר...",0,,
"2 ההורים שלו הלכו מן העולם,קיבל פרס ישראל על פועלו וארגונו,איש חסד בר'מח איבריו לא יכול להיות שאדם כזה הגיע למעשים כאלה,ואם זה לא נכון כל אלה שמוציאים לעז על אדם כזה ישרפו בגיהנום...",0,,
אין מצב שקרנים,0,,
מחפשים אותו למה נראה לכם שיפרגנו לא הקנאה שורפת אותם,0,,
אם יש מישהי ומישהו חושבים שהוא אנס אותה עשה להם משהו שיוכיחו למה סתם ללכלך שיסלח לי הקדוש ברוך הוא בן אדם שעושה דבר כזה צריך לחשוב על הבנות שלו על הילדים שלו זה אסור אסור אסור אסור אסור אסור,0,,
נשמע כמו הכפשה!!,0,,
מדינה בפשיטת רגל,0,,
קנאים ושקרניםקודם ממליכים אותו אחכ מנסים לקבור אותואיזה אופי חרא,1,,
ממש מפתיע 😂,0,,
העיקר קיבל פרס ישראל ועכשיו מוציאים את הקופסא השחורה שלו🤦🏻‍♂️,0,,
דיסוננס קוגנטיבי במיטבו,0,,
עיתונאי רוצח תיזהר,0,,
קשה לי להאמין הרי חוץ משנאה ופילוג בעם כל ערוצי החדשות למינהם דוברי שקר,0,,
קישקוש בתחת של הקנאים והממורמרים,1,,
נשמע מגמתי מאוד ! הציבור החרדי לא אוהב את 'התמתנותו' ודיעותיו הליברליות !,0,,
סתם שקרים,0,,
הזוי אני רוצה להאמין שהדברים לא נכונים,0,,
פייק ניוז,0,,
מגיבור לנבל ביממה,0,,
סוף סוף!!!!!! השאלה שלי למה רק עכשיו ולא לפני שנים?????,0,,
מזל שהוא משי זהב ולא טלית תכלת,0,,
"לא מאמינה.יומיים אחרי שהודיעו שהוא מקבל פרס על מפעל חיים, איזה אנשים רעים וצרי עין",0,,
"לא פלא, הבן אדם כל היום מתעסק עם חתיכות...",1,,
בן זוגי לשעבר בא מהמגזר החרדי וסיפר דברים שהיה לי קשה לקבל. בכל פעם שראיתי אותו קיוויתי שחלה טעות. אם נכון הדבר זה חילול שם שמיים נוראי ועוול נוראי שנעשה במעשיו.,0,,
"הכל שקר לא להאמין לשום מילה שנאמרת כאן.עלילה של הרבנים עליו בגלל שיש לו בן משרת בצה""ל.",0,,
תתביישו לכם מה קשה לכם לקבל בן אדם שהדעות שלו שונות ממכם ישר לחפש מה הוא עשה מאיפה אתם מקריצים את כל השטויות האלהוזה רק בגלל שהוא קיבל פרס ישראל,0,,
כמה הבדם הזה דפוק וסנוימי הוא שיקבע על חוק הלאום בשביל זה יש את ביבי הוא קובע,1,,
מושחת,1,,
האיש הזה שתול .,1,,
לך לעזאזל חולה בראש,1,,
מי בוחר באיש הזה מה עשה עבור מדינת ישראל דבר אחד שיגיד שעשה,1,,
האדם הנוכל העברין המפיונר ליברמן סגלובייץ.הם האנשים ששומרים עילנו מערכת המשפט הפרקליטות .. תיראו לאן הגענו ליברמן שומר הסף של הפרקליטות בית המשפט העליון ליברמן סגלובייץ עצוב שזה מערכת החוק במדינה ישראל היהודית,1,,
סתם זבל עוכר ידראל מושחת,1,,
תגיד לנו רק את מי אתה אוהב ונחשוב,0,,
עובד על כולם בעיניים המפיונר הנוכל העברין ליברמן...בושה כמה שזה עצוב,1,,
ליברמן האיש הכי מושחת במדינה מאז הגיע לארץ ממולדביה.,1,,
הציבור שבוחר בו מעניין אותו רק כסף שיבטיחו לרוב הגויים המתחזים ליהודים פנסיה חודשית. ומצידם שישחטו את כל היהודים,1,,
זבל אתה יותר גרוע מהחמס בן זונה,1,,
ג'וי בתחפושת של יהודי עוד מעט נגמר פורים שיוריד את בתחפושת עמלק.,0,,
כל הגויים ערב רב שבא מרוסיה בוחרים בכלב המושחת,1,,
תקשיב דוברמן חוץ משנאת חרדים מה עשיתה 30 שנה נדה כלום סמרטוט ריצפה אנרכיסט עפיפון בלי חוט,0,,
להעיף אותו לקבינמט חזרה מאיפה שבא,1,,
חמור סתם ומושחת,1,,
ליברמן המילה שלך לא שווה כלום,0,,
אך אנשים לא קולטים שהדבר הזה. הוא שליח מסוכן שנשלח לפרק את עם ישראל ואת ארצו. לכאורה...תתעוררו. תתעוררו סכנה .סכנה .סכנה .אך הדבר הזה בכנסת ישראל אך אך .ואף אחד לא מתעורר.,0,,
המן הרשע,1,,
מרגל,1,,
הציבור שבוחר בו הוא לא יהודי ולבקושי יודע מילה בעברית.האנטישמי הזה חייל של פוטין.,1,,
הדוברמן וחבורתו הפעם הולכים הביתה ובגדול ואז יתחילו כל החקירות,1,,
דב רוסי,1,,
דפוק על כל הראש,1,,
הם יודעים בוודאות שהפרקליטות מושחתת אבל זה מתאים להם,1,,
הנוכל והרמאי.,1,,
האדם הכי מושחת שיש במדינה איך בוחרים בו בטח זה הגויים שהוא מביא,0,,
האיש המושחת ביותר,0,,
כל מי שמצביע לאפס הזה שם את קולו על קרן הצבי,1,,
מושחת מהיסוד הגוש חרה הזה,1,,
גם יומו של ליברמן יגיע.הפרקליטות לא בקלות יוותרו לו וימיו ספורים.עכשיו הוא משרת אותם.. ברגע שיגמר הארטיק הם יזרקו את המקל!,0,,
מסכימה לכל מילה!,0,,
ראש ארגון פשע כל מה שכתוב אמת,0,,
הוא לא יכול להיות ימיני זהו איין סיכוי ואים כןהתיקים עולים למעלה.,0,,
ראש ארגון טרור כמו המשותפת אין הבדל,1,,
למה השבכ לא חוקר אם הוא בכלל יהודי או מרגל רוסי,0,,
סכנה למדינה ישראל,0,,
כל הנוכלים נימצאים ברשימה שלו,1,,
איש זר לעם ישראל.,0,,
מה אתה צוחק עוד מעט תיבכה אחוז חסימה אתה לא עובר אמן ואמן יחלאה,0,,
חלאה,1,,
רמאות אחת גדולה.,1,,
איכס איזה איש מגעיל,1,,
בוגד זבל,1,,
לא תרם כלוםלמדינת ישראלהבייתה,0,,
כלב זבל חולה נפש גויי זרע עמלק,1,,
כמו מחבל,1,,
חברים תבדקו את השורשים שלו ותראו זה מגיע עד לכוזרים אז מה אתם מתפלאים שהו אנטי הוא פשוט חוזר לשורשים שלו,0,,
אם עובר הפעם את אחוז החסימה המדינה שלנו בסכנה!!!!,0,,
המן הרשע,0,,
מעניין אם כל הדברים האלה הוא אומר גם ברוסית,0,,
מפיונר חלאה ובוגד,1,,
"ממבט ראשון מהרגע הראשון שראיתי אותו ,פרצופו ,עיניו מבטיו תנועות גופו ,טון דיבורו וקולו ,הדליקו במוחי נורה אדומה!האיש כוונותיו זדוניות !!לא טעיתי !!!לגבי הפרקליטות ?!אני מניח שגם חברי כתות רק לא ביבי ,גם הם יודעים עד כמה הפרקליטות מושחתת!!אבל ,הם לא יצאו נגד הפרקליטות כמתבקש !לרסק ביצת זהב !!???!!",0,,
זהו חסינות תמורת שמאלניות,0,,
עמלק!!!!!!!!!!!,0,,
מה הוא עשה בכלל בכל הקרירה שלו חוץ מלגרום לארבע בחירות אידיוט מי שמצביע לו,0,,
זה הקקה שאמר בלי נאמנות אין אזרחות....רוצה לבטל את חוק הלאום...ומה יעשה מחר?? יגיד שאסור להגיד יהודים כי פוגע במוסלמים?עד לאן הדרדר הנבלה הזה...כולל כל סירטונים אנטישמים שעושה נגד הדתיים...גועל נפש אחד גדול....,1,,
מי יכול לבחור ברוסי חמור כזה .רק מבוגרים .ורוסים שיש להם אינטרס,0,,
"בבקשה תילחצו על הקישור של ציון מסיקה תיראו איך נשיא ארצות הברית מעריץ ומשבח את נתניהו ... ופה פסולת אדם אנושית שמאלנית ארורה ובוגדת בג""צ ותישקורת חדורי שינאה עצמית לעם היהודי תופרת תיקים לנתניהו....בקשירת קשר להפלת שילטון .הימין....מקומם של הבוגדים הארורים אותם השופטים והעיתונאים וליברמן זה בכלא...חקירות העמדה לדין וכלא ....",1,,
שרמוטה לא יהודי ביכלל יזונה של פוטין,1,,
ויש עדיין אנשים שבוחרים בו....למה ????,0,,
כתבת מצוין!,0,,
ליברמן הפך את עורו רק בגלל שירדו ממנו ולא יעמידו אותו למשפט על כל הגניבות והשחיתות שלו אין שום סיבה אחרת זה מתאים לרוסי הלא יהודי הזה,0,,
"איש מגעיללל , ועוד ריחמתי עליו שהתנדנד על אחוז החסימה",1,,
הם לא י ה ו ד י ם,0,,
פרצוף של נמלה חולה,1,,
48 שעות והוא מחובל לכאורה,0,,
איש מגעיל !,1,,
הכושי הפך עורו !מ ו ש ח ת !!!,1,,
"חייל חכם וקר רוח🙏🏽במקום לשבת בבית הסהר הפעיל הגיון בריא,למה לקחת סיכון שיש שר בטחון בדומה לבוגי שבגד בחייל צהל,עם גנץ זה היה מגיע לבגץ ומבגץ ישר להאג!",0,,
בן גביר.צו השעה!!!,0,,
שוקיסט,0,,
אם החייל היה יורה בתוקפים הוא היה מודח ונכנס לכלאככה זה שאין מפקדים ושרים שייקחו אחראיות וייגבו את אחרון החיילים.,0,,
חחח אפשר לסגור את הצבא,0,,
וככה ננצח במלחמה חחחחחעד מתי יפסק הביזיון הזה רק אלוהים יודע,0,,
אסון,0,,
מקווה שבמלחמה הבאה אנחנו נלחם מול שבלולים.,0,,
לחקור אם הוא מכר אותו בכוונה,0,,
בקרוב הסוף שלהם יבוא,0,,
ב-ynet כתבו: על ידי כמה בני אדם באזור שפרעם. אין כמו פוליטיקלי קורקט. המדינה מתדרדרת לתהום...,0,,
"כוכבי אתה אפס, קיבלת שנת חסד, והרפיסות של המפקדים מקרינים על החיילים, וכמו כן אין להם גב ברגע שהם מגיבים כמו שחייל צריך להגיב, פשוט להתבייש, איזה צבא זבל נהיה לנו, למרות שחיילים סופר מצויינים",1,,
עכשיו מה יעשו עשיתה טוב תן להם את הנשק גם כך איח לו שימוש גם כך העונש קל עצוב זה טקסס בנגב והצפון יבניאל,0,,
"שלום חברים,אני מזמינה אתכם להצטרף לקבוצה החדשה למתן ייעוץ משפטי והכוונה מקצועית.~ עורכי דין ",0,,
המצברק הולך ומחמיר. עולים עוד דרגה ברף האלימות שלהם. וכל זה משום שיש אפס ענישה.,0,,
מאור יעקב ליד שפרעם,0,,
"הכי חשוב שהבחור חזר הביתה בשלום אף אחד לא היה יושב יום במקומו בכלא ....""עצוב אבל אמיתי """,0,,
לוחם קומנדו חחח דיי דיי לבייש את הצבא שלנו מדינה בפשיטת רגל אם לא נתעורר נאבד גם את המעט שנשאר לנו צריך להכניס כוחות גדולים לכל כפר ערבי ולעשות סריקות ולהפוך בתים עד היסוד ולהוציא כל כלי נשק ללא רישיון !,0,,
ערבים??? זה מאד כללי לא????? אולי בדואים ?????? אולי ערבים שבדים????? אולי ערבים הולנדיים?????? אולי תגידו כבר אולי הכל כמו שצריך,0,,
"הפכו את החיילים לבלרינות.כל הקרדיט כנראה מגיע לבג""ץ, לפרקליט צבאי ראשי שרון אפק בוגר קרן וקסנר, והשמאל.",0,,
קומנדו הוא כבר לאאם חטפו לו את הנשק.,0,,
לוחם קומנדו?,0,,
🤔,0,,
"נו ומי אשם בזה רק הבג""ץ והפרקליטות נותנים למחבלים פריוילגיות אמא שלהם יזדיינה עם אבו מאזן השרמוטה",1,,
איזה בזיון בושה,1,,
רק רצו לעשות לו נקיון לנשק למה ישר להתסיס,0,,
חייל לא מגן על עצמו = כלא חייל מגן על עצמו = כלא Welcome to israel,0,,
איך לא ירה להם בראש,0,,
"שווה לבדוק חלוקת משרוקיות וגז מדמיע שלא שורף בעניים ולא משאיר כתמים בבגד,במקום נשק.זה לחיילי הקומנדו...לשאר החיילים הפשוטים מגבעתי גולני וצנחנים...מספיק משרוקית...כדי לא לסכן בכלל את האויב.",0,,
אם חטפו לו נשק אז לוחם קומנדו הוא לא.,0,,
לכל הטמבלים שצוחקים על הלוחמים שלנו שקו בתחת,1,,
מצאו איפה לעשות ניווט 🤦,0,,
"איך גונבים מחייל קומנדו? אולי כי חייל הקומנדו העדיף לוותר על נשקו מאשר למצוא את עצמו נותן הסברים לפצ""ר על ירי אולי פרשת אריה שיף חילחלה גם לקומנדו עד מתי ניתן לחבורת כסתחים לקבוע לחיילינו כללי התנהגות הזויים ובכן בבחירות הקרובות יש לעם הזדמנות לקבוע מי יחולל שינוי רדיקלי והאיש היחיד שמסוגל להגן על חיילינו שמו איתמר בן גביר הצביעו לו ואני מבטיח לכם הנושא יטופל לעומק",0,,
מרגישים שחסר לכם אנרגיה ופוקוס במהלך היום?😴במיוחד בשבילכם משקה אנרגיה בריא המבוסס על צמחים ופירות 🍃🍓✅נותן אנרגיה לזמן ממושך.🤩✅מעלה את הפוקוס והריכוז🤓✅מעצים פעילות ספורטיבית 💪✅מצויין לסטודנטים🤗✅מסייע למערכת החיסון 🍇,0,,
חייל דימקולו,0,,
"זה צורה ללוחם???לא שופט באמת, אל תשפוט אדם אם לא עמדת במצבו.... אבל מה נסגר???באים לחטוף לך נשק??? זה הילה לירי באוויר ומפה זה יתפתח",0,,
חבל שהכותרת לא ״ במהלך נסיון חטיפת נשק לחייל צהל החשודים נוטרלו ומתו מפצעייהם .״מי שמהווה סכנה כדור בין העיניים,0,,
"אני לא יודע איך, אבל מיד להחזיר את רפול.",0,,
לוחם קומנדו. מצחיק ועצוב,0,,
"פצ""ר,פצ""ר, פצ""ר",0,,
איך לעזעאל לחייל קומנדו חטפו נשק?איך לא עשה להם בושידו?ואיך לא ירה בהם?זה קומנדו?או חוות השומר?,0,,
ממשלה של ליציינים!חייל קומנדו מפחד לראות ולנטרל את התוקפים בגלל הפחד מהשלחות...עצוב,1,,
כשנותנים לשייטת רובי מים להשתלט על ספינת מחבלים מה הפלא.. צריך חשבח אותם ולתת להם אות הוקרה שלא ירו בו,0,,
תדע כל אם עבריה שהפקירה גורל ילדיה,0,,
"אין להאבק- יורים! אח""כ שכל הח""כים שלנו יאבקו בשבילו",0,,
למה לא ירה בהם ?,0,,
חייל קומנדו קוקסינל למה לא ירה????,0,,
מה יהיה עם כל הגנבות בבסיסים לחיילים קרביים צריך לחסל אותםשלא יכנסו לבסיסים🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️,0,,
לפני יומיים ערבי דרס יהודי כי חש סכנת חיים לדבריו פה למה לא חש סכנת חיים וירה???,0,,
לוחם קרמבו לא קומנדו והכל בזכות מערכת המשפט,0,,
מה יהיה איפה ההרתעה החיילים הפכו לליצנים העיקר להגיד קרבי אין בטחון לא לחיילים ולא לשוטרים נא להתעורר,1,,
עכשיו הגנבות שלהם הגיעו לקומדו?? איפה הבטחון שלנו?,0,,
"כל הכבוד לממשלת ה״ימין״ החלשה הזאת שלא נותנת גיבוי לחיילים, נותנת לבג״צ יד חופשית.. רק בן גביר!!!!💪🏼💪🏼💪🏼",0,,
מדינה בדיחה...,0,,
"איך יכול להיות דבר כזה????? לפי הכתבה, החייל הבין שבאים לתקוף אותו ומשום מה לא פתח בירי. מצד אחד יש לו מזל שלא רצחו אותו ומצד שני יש לו מזל שלא פתח באש כי אז היה צריך להתמודד עם שופטי ישראל ואז מצבו היה חי אבל מת נפשית.מערכת משפט רקובה יש לנו . חייבים שינוי ודחוף",0,,
פחד לירות חחח איזה דפוקים נהיינו פה כנראה העורך דין שלו לא ענה איפה השר שסרח יעלון,0,,
אני מקווה שזה פייק ניוז אחרת אבדנו,0,,
אם אלו ערביי ישראל זה חמור ביותר,1,,
"רפול היה מאדים מזעם, נכנס לאוטו, נוסע לקריה, ישר למטכל ומעיף ממנו את כל שדרת הפיקוד.כן, כולל כוכבי.לא יכול להיות ולא משנה מהי המערכת מסביב שחייל,כל שכן קומנדו מגיב ככה.ומי שיוצא לניווט בדד הם המאומנים שבחיילים. וזה אף פעם לא החייל. תמיד המפקד.הש. ג. לא אשם. אף פעם. אתם רוצים דגל אדום לגבי צה""ל? קבלתם.כדאי מאוד שניבהל. כולנו.",0,,
בית זונות אחד גדול כל המדינה הזאת ...,0,,
היה מיתקשר לאלאור עזריה,0,,
למה אומרים חייל קומנדו עכשיו ידעו שגם חילי הקומנדו שלנו בלרינות,0,,
פתח באש עדיף שתשב בכלא מאשר שאמא שלך תשב עלייך שבעה,0,,
"צה""ל של היום זה כמו הג""א לפני 40 שנה ...בושה למדינה שנותנת גיבוי לערבים ובגץ מחזק אותם ...ממשלה של אנשים תת רמה .וללא כבוד וערכים למדינה..במיוחד לזה שמנהל אותה..בושה בושה לכל ה 120 אוכלי חינם בעעעעעעע על הממשלה",1,,
"הרמטכל . למצות את הדין עם פורעי החוק . הפכתם אותנו לבדיחה כל המנכלים רמטכלים מפכלים שרים חכים משכורות עתק סתם . חייבים חייבים להחליף את כולם ושלא הישאר זכר לכל הנ""ל מי שנרדם בשמירה נישאר שבת",0,,
אתם קוראים לחייל חייל קומנדו !!!!!!!!,0,,
"לא הבנתי,לוחם קומנדו לא אמור לגבור על שני אנשים לא מאומנים?",0,,
למה היה בניווט כיחיד ולא בזוג בימים טרופים כאלו?!!!עד מתי יימשך הטימטום????,0,,
לא לוחם קומנדו.לוחם בחטיבת הקומנדו.יחי ההבדל,0,,
פעם הבאה אישור לירות כדור ישירות למוח,0,,
לוחם קומנדו הוא לא,0,,
איך אפשר שחייל לא יכול להגן על עצמו??,0,,
לשחרר אותו מצהל אחרי שילך לכלא. לאחר מכן ליבדוק מי קיבל אותו ליחידה גם אותו צריך להדיח על אבחנה לקויה.נימאס כבר מחיליי השוקולד.,0,,
בושה בנוויט לילה לבד הנשק צריך להיות דרוך,0,,
"תחשבו רגע. מישהו היה מנסה לשדוד חייל קומנדו רוסי, אמריקני, אנגלי... ועדיין חי??? תחשבו רגע. מישהו היה שודד את נשקו של חייל קומנדו רוסי, אמריקני, אנגלי... היה נישר חייל ??? נפלנו על הראש. רמטכ""ל תוצרת הקרן. הפיקוד העליון של צה''ל סניף של מרץ ורשימה משוטפת.",0,,
"מעניין מה היו אומרים אריק שרון ורפאל איתן ז""ל על אירוע כזה. נראה כאילו בשנים האחרונות משקיעים יותר מדי בטכנולוגיה ומשפטיזציה ופחות ב""רוח הלוחם"". אף אחד לא מכיר פה את הפרטים המלאים אבל התוצאה הסופית פשוט לא מתקבלת על הדעת (ואני מציע לכל הכותבים פה לא ללעוג ללוחמים יקרים. כולם גיבורים על המקלדת)",0,,
מקווה בשביל הלוחם שהם לא נפצעו או משהו בזמן שלקחו לו את הנשק.,0,,
אין הרתעה בכלל !!!הפשע חוגג 😡 אסור לנו לשפוט את החייל היקר זה הבן שלנו ששלחנו אותו לצבא והמפקדים שלו מפקירים אותו,0,,
זה ממש לא בסדר,0,,
והם עדיין חיים??,0,,
חטפו לחייל קומנדו ?אויי לנו שזה קרה למה לא ירה בהם למוות,0,,
אז מה גם אים הם יתפסו מה בגץ יגיד שהם רק רצו לשחק עים הנשק של הלוחם 😂😂😂😂😂😂,0,,
בושה !,0,,
כל הכבוד לחייל !!! תלכו אתם נבלות להתמודד עם בית משפט !!כבר ראינו מה מה קרה לאלאור.,0,,
אני מציע שיעשו ניווט מתודי יענו בלי לצאת מהבסיס הכי בטוח. ינעל העולם. שלא יעשו ניווט ליד גן ילדים שלא יזרקו עליהם חול,0,,
בסוף ידיחו אותו כי לא ירה בהם .ואם היה יורה בהם היה עצור עד תום הליכים,0,,
לא שופט את החייל.הפעם הוא נתקל בעבריינים שרק רצו לקחת נשק. ואם היה נחטף ונרצח!? הוא היה חייב לירות בהם ברגליים. שוב לא מאשים אותו פשוט אין לחיילים גב אף אחד לא מגן עליהם,0,,
מחבלים יש לומר,0,,
"הערבים בסך הכל דימו חטיפת נשק ,הכל יכול לקרות בקרב ....",0,,
"ה""רוח"" היא רוחה של המשטרה ושל הפרקליטות שמעמידות לדין אזרח מערד שניסה להגן על רכושו בשבריר שנייה. הוא לא יכול היה להעלות את הנושא לדיון או להמתין לבוא המשטרה. הוא ירה כדי לנטרל את הגנב ולא כדי להרוג אותו. כעת, הוא ממתין לערכאות הצדק שמלכתחילה אינן צודקות.",0,,
Kfir Evron זאת לא התמונה שלך?,0,,
איך הגיע למצב הזה?לא היה עדיף להכניס בכל אחד מהם איזה כדור שירגעו ואז היינו גם מקבלים הרתעה ושמירה על הנשק,0,,
קומנדו....,0,,
לירות על מנת להרוג יפתור את התופעה,0,,
בדיוק כמו לפני 30 שנה שבצבא היה חשש לירות. היו אז חטיפות ורציחות של חיילים. והדוד שלי אמר לי: אתה ? אל תהסס. תירה. עדיף שתהיה בכלא ולא בארון.,0,,
"וכי למה ציפה משה יעלון כשפתח במישפט לאליאור אזריה ??? ,, בכל מיקרה אותו מחבל היה מת עוד ליפני הגעתו לבית חולים ואליאור אזריה פשוט גמל אותו מייסוריו ,, אלא שתוצאות אותו מישפט ירדפו אותנו עוד זמן רב , גם כשגנבים חודרים לבסיס צהלי , אסור לירות בהם . מצחיק עד דמעות ,, מעורר געגועים לעבר הרחוק שכל מי שהיתקרב לבסיס ולא ידע את הסיסמא היה חוטף כדור , ועוד גנב ??",0,,
"אני וכל האחרים כאן יכולים להמשיך וליכעוס עד המאה ה 22 , אך מי שצריך לתת דין וחשבון לציבור בארץ לא מצייץ אפילו מילה אחת , והכוונה היא לראש הממשלה ולמערכת המישפט בישראל בפרט ,, כשבג'ץ מחליט אם לאשר או ליפסול חוק שהיתקבל בוועדת חוק חוקה ומישפט ,, אז כבר פה מתחיל כל הבלאגן , ואת טענות הציבור צריך להפנות לשופטי בג'ץ , וכשיד ימין ויד שמאל לא מיסתדרות בניהן , אז איך הגוף ייתפקד ?? , אלא ששופטי בג'ץ יושבים במיגדל השן וחושבים שאינם צריכים לתת תשובות לציבור , הם הרי לא חייבים לתת דו'ח על פסיקותיהם , הם לא עומדים לבחירת הציבור כפי שיש לממשלה כל 4 שנים , ומעליהם אין אף אחד שיקבע להם , גם לא שר המישפטים שהוא בר החלפה , וגם לא יו'ר איגוד עורכי הדין בארץ ,, ולכך יש פיתגם '' הדג מסריח מהראש ''",0,,
"נו בטח.. ומבחינתו טיבי פעיל זכויות אדם..סגן רמטכ""ל שמתנהג כמו בן אדם שברח מבית משוגעים, לא פחות...במקומות אחרים, שפויים יותר מהמדינה, מאשפזים אותו בכפייה או נתלה על בגידה...מי שבבחירות האלה מצביע כל ""ימין"" אחר שהוא לא בן גביר מביא לכנסת עוד מזהי תהליכים....קחו את זה בחשבון....",0,,
"איזה כוחות לצוות הרפואה!!!
כל הכבוד",0,,
ישר כוח על עבודתכם תודה תודה ושוב תודהה,0,,
"אדם קר קר ללא אמפתיה , היא ידעה למה לעשות הסכם סודי !🤦🏻‍♀️🤦🏻‍♀️😡",0,,
ביבי לא יכול לטוס לאמירויות בלעדיה היא קובעת לו איך לטוס ומתי ותמיד היא מצטרפת לטיסה,0,,
מתי נתאושש כל העם ממנו🙏🙏🙏,0,,
תעוף עם שרה ותטפל בה,1,,
החלמה מהירה,0,,
רפואה שלמה ותודה לך ראש הממשלה,0,,
מלא חמוצים בפוסט אחד תאמת לקרוא את המירמור שלכם תענוגגגג,0,,
"ביבי דיקטטור וכבר מתנהג כמו משוגעה. אתה מתנהג כלפי אזרחים שלך , כמו שאבא מתנהג כלי ילדים שצריך להעניש ולא מבין כלום. ובזמן אחרון אמירות שלך - הם אמירות של בן אדם מבוגר שאיבד חוט למחשבה נורמלית.",0,,
כמה רוע יש בעם הזה פשוט להקיא עליכםםםםם 🤮🤮🤮🤮,1,,
כולה ניתוח אפנדיציט,0,,
דוחים,0,,
ארץ אוכלת יושבה. בושה,1,,
רק בריאות ונחת לכם👍🙌🤏🙏🌹🤩😘,0,,
"רפואה שלמה לרעיית ראש הממשלה, בריאות וכל טוב.לגבי גוף הכתבה: אנחנו רואים שסה""כ הקורונה משיגה את מטרותיה וזה לאחד, לקשר, לחבר את האנושות לאחד. מדינות מרגישות יותר ויותר תלות הדדית. מבינות שאי אפשר להפיל אחת את השנייה, כי זה מגדל קלפים, אחת נופלת וכולם אחריה. מתחילים לחפש שיתופי פעולה מתוך הבנה שאחרת לא נשרוד. הטבע בנה בינינו כאלה קשרים מסחריים, כלכלים, תרבותיים, שנשאר רק להתאים לקשרים האלה את היחס הפנימי שלנו: אדם חייב להבין, שלהיות יחד עם כולם כגלגל שיניים הטוב, שמסתובב בהתאמה לאחרים, מזה הוא יפיק הרבה יותר תועלת ויהנה משלימות הגוף הכללי. גם ברמה הגלובלית מדינות לאט לאט יפנימו להסתכל על כדוה""א אחד, שכולנו צריכים לחיות בו בשלום והשלמה הדדית.",0,,
היא משעממת אותנו,0,,
רפאה שלמה אמן. ואמן,0,,
אבו יאיר דואג לבחירות יותר משרה עכשיו אני מקווה שהיא לא תיקח דברים מבית חולים הביתה,0,,
האישה השולטת בכל ...והגבר החלשלוש לצידה ‼ מנהלת את המדינה ועל פיה יישק דבר.,0,,
אולי היא חולה בקרונה,0,,
רופאהשלמה אמן ❤️👌🏿,0,,
אולי הלכה לקבל טפול נפשי,1,,
החלמה מהירה לשרה והשם ישמור אותכם מלשון הרע ביבי ושרה,0,,
רפואה שלמה לשרה,0,,
עוד אף אחת לא מת מרעב שמאלנים דוחים,1,,
שהזיהום יקח אותך,1,,
אילנית חובשי מקווה ששלחת פרחים לרשת ראש הממשלה שאת כל כך אוהבת,0,,
"רפואה שלמה בע""ה אמן",0,,
כיעור מבפנים,1,,
"כולה דלקת בתוספתן,הבעיה שלה היא בראש",1,,
מאחלת לשרה החלמה מהירה ורפואה שלמה.🙏,0,,
העבירה לביבי את כל הסמכויות?,0,,
"בריאות איתנה במהרה לגב' הראשונה, אשת כב' ראש הממשלה.",0,,
רק בריאות איתנה לכל עם ישראל,0,,
Shani Shrikiהיא עברה בהצלחה את הוצאת התוספתן והיא בהתאוששות. תודה לאל אפשר להמשיך בשיגרת חיינו 🙏🏻,0,,
רפואה שלמה אמן אישה יקרה⁦❤️⁩,0,,
רפואה שלמה,0,,
זה בסדר היא עם אינפוזיה של שמפניה ורודה חזרה לעצמה.,0,,
ישועת השם כהרף עין אמן,0,,
החלמה מהירה,0,,
רפואה שלמה,0,,
מאחלת לה הרבה בריאות והחלמה מהירה בעזרת השם ....אוהבים אותך גברת נתניהו ...שבת שלום,0,,
מזל שיצאת מזה. פשוט לא יכולתי לחיות עם המחשבה שלא יהיה מי שיבחר לנו את הרמטכ״ל הבא,0,,
רפואה שלמה 🙌,0,,
רק בריאות,0,,
רפואה שלמה,0,,
רפואה שלמה,0,,
"אל תדאגי יקירתי, השתדלתי למלא את מקומך בממשלה ביומיים האלה",0,,
וליד זהראלדין לפי איחולי החלמה אתה חתום ביבי נתניקו,0,,
"""מצבה הרפואי"".בואו, כולו תוספתן... ניתוח של 40 דקות, שחרור מבי""ח תוך 24 שעות והחלמה של שבועיים...",0,,
